ID,NAME,VALUE,DATE,DOUBLED_VALUE,SQUARED_VALUE
ID0001,ITEM1,948,09/21/2025,1896,898704
ID0002,ITEM2,802,10/26/2025,1604,643204
ID0003,ITEM3,217,08/31/2025,434,47089
ID0004,ITEM4,148,02/14/2026,296,21904
ID0005,ITEM5,246,03/02/2026,492,60516
ID0006,ITEM6,990,06/28/2025,1980,980100
ID0007,ITEM7,131,04/16/2026,262,17161
ID0008,ITEM8,493,01/12/2026,986,243049
ID0009,ITEM9,519,09/09/2025,1038,269361
ID0010,ITEM10,297,07/25/2025,594,88209
ID0011,ITEM11,554,11/16/2025,1108,306916
ID0012,ITEM12,576,03/05/2026,1152,331776
ID0013,ITEM13,239,06/14/2025,478,57121
ID0014,ITEM14,999,10/18/2025,1998,998001
ID0015,ITEM15,545,04/01/2026,1090,297025
ID0016,ITEM16,590,10/06/2025,1180,348100
ID0017,ITEM17,552,06/13/2025,1104,304704
ID0018,ITEM18,328,12/31/2025,656,107584
ID0019,ITEM19,52,02/25/2026,104,2704
ID0020,ITEM20,324,01/18/2026,648,104976
ID0021,ITEM21,725,05/10/2025,1450,525625
ID0022,ITEM22,84,07/29/2025,168,7056
ID0023,ITEM23,893,10/09/2025,1786,797449
ID0024,ITEM24,507,02/20/2026,1014,257049
ID0025,ITEM25,784,05/30/2025,1568,614656
ID0026,ITEM26,399,11/19/2025,798,159201
ID0027,ITEM27,123,05/21/2025,246,15129
ID0028,ITEM28,564,06/17/2025,1128,318096
ID0029,ITEM29,358,03/06/2026,716,128164
ID0030,ITEM30,278,11/14/2025,556,77284
ID0031,ITEM31,483,11/26/2025,966,233289
ID0032,ITEM32,436,01/03/2026,872,190096
ID0033,ITEM33,610,09/23/2025,1220,372100
ID0034,ITEM34,447,03/02/2026,894,199809
ID0035,ITEM35,156,04/06/2026,312,24336
ID0036,ITEM36,90,02/23/2026,180,8100
ID0037,ITEM37,55,10/13/2025,110,3025
ID0038,ITEM38,140,08/26/2025,280,19600
ID0039,ITEM39,601,10/03/2025,1202,361201
ID0040,ITEM40,71,05/01/2025,142,5041
ID0041,ITEM41,131,12/18/2025,262,17161
ID0042,ITEM42,225,07/03/2025,450,50625
ID0043,ITEM43,460,01/26/2026,920,211600
ID0044,ITEM44,347,07/29/2025,694,120409
ID0045,ITEM45,328,07/16/2025,656,107584
ID0046,ITEM46,457,07/30/2025,914,208849
ID0047,ITEM47,455,06/11/2025,910,207025
ID0048,ITEM48,382,08/20/2025,764,145924
ID0049,ITEM49,639,05/27/2025,1278,408321
ID0050,ITEM50,484,04/03/2026,968,234256
